,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
123,2,Manufacturing (Group),3,Manufacturing,2013,2013,04000US30,Montana,5,12.806248474865697,"Gardiner, MT",16000US3029950,gardiner-mt
124,3,Wholesale Trade (Group),4,Wholesale Trade,2013,2013,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
125,4,Retail Trade (Group),5,Retail Trade,2013,2013,04000US30,Montana,43,28.844410203711917,"Gardiner, MT",16000US3029950,gardiner-mt
126,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2013,2013,04000US30,Montana,7,7.810249675906654,"Gardiner, MT",16000US3029950,gardiner-mt
127,5,"Transportation & Warehousing, & Utilities",7,Utilities,2013,2013,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
128,6,Information (Group),8,Information,2013,2013,04000US30,Montana,4,11.6619037896906,"Gardiner, MT",16000US3029950,gardiner-mt
129,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2013,2013,04000US30,Montana,5,11.6619037896906,"Gardiner, MT",16000US3029950,gardiner-mt
130,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2013,2013,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
131,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2013,2013,04000US30,Montana,21,26.0,"Gardiner, MT",16000US3029950,gardiner-mt
132,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2013,2013,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
133,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2013,2013,04000US30,Montana,11,9.899494936611665,"Gardiner, MT",16000US3029950,gardiner-mt
134,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2013,2013,04000US30,Montana,90,43.18564576337837,"Gardiner, MT",16000US3029950,gardiner-mt
135,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2013,2013,04000US30,Montana,11,9.219544457292887,"Gardiner, MT",16000US3029950,gardiner-mt
136,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2013,2013,04000US30,Montana,146,68.87670143089025,"Gardiner, MT",16000US3029950,gardiner-mt
137,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2013,2013,04000US30,Montana,174,65.29931086925804,"Gardiner, MT",16000US3029950,gardiner-mt
138,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2013,2013,04000US30,Montana,34,25.942243542145693,"Gardiner, MT",16000US3029950,gardiner-mt
139,12,Public Administration (Group),19,Public Administration,2013,2013,04000US30,Montana,64,38.626415831655926,"Gardiner, MT",16000US3029950,gardiner-mt
